task,type,start,end,duration_ms
ksoftirqd/1,RUN,3811.590119,3811.590126,0.007000
ksoftirqd/1,RUN,3811.688019,3811.688026,0.007000
ksoftirqd/1,RUN,3811.762026,3811.762033,0.007000
ksoftirqd/1,RUN,3812.505071,3812.505080,0.009000
ksoftirqd/1,SLEEP,3811.590126,3811.688019,97.893000
ksoftirqd/1,SLEEP,3811.688026,3811.762026,74.000000
ksoftirqd/1,SLEEP,3811.762033,3812.505071,743.038000
ksoftirqd/1,STAT_PERIOD,0,0,0.000000
ksoftirqd/1,STAT_MEASURED,0,0,-1.000000
ksoftirqd/1,STAT_DEADLINE,0,0,0.000000
ksoftirqd/1,STAT_WCET,0,0,0.009000
ksoftirqd/1,STAT_ACET,0,0,0.007500
ksoftirqd/1,STAT_JITTER,0,0,-1.000000
ksoftirqd/1,STAT_UTIL,0,0,0.000014
ksoftirqd/1,STAT_NRUN,0,0,4
ksoftirqd/1,STAT_NPRE,0,0,0
ksoftirqd/1,STAT_NSLP,0,0,3
ksoftirqd/1,STAT_NMISS,0,0,0
ksoftirqd/1,STAT_WSLACK,0,0,-999999.000000
ksoftirqd/1,STAT_HGAPS,0,0,1.000000
ksoftirqd/1,STAT_NGAPS,0,0,3
ksoftirqd/1,STAT_MAXGAP,0,0,743.038000
ksoftirqd/1,STAT_RUNTOT,0,0,0.030000
ksoftirqd/1,STAT_PRETOT,0,0,0.000000
ksoftirqd/1,STAT_SLPTOT,0,0,914.931000
kworker/1:4,RUN,3811.590065,3811.590119,0.054000
kworker/1:4,RUN,3811.630008,3811.630019,0.011000
kworker/1:4,RUN,3811.688011,3811.688019,0.008000
kworker/1:4,RUN,3811.762018,3811.762026,0.008000
kworker/1:4,RUN,3811.951033,3811.951045,0.012000
kworker/1:4,RUN,3812.014036,3812.014047,0.011000
kworker/1:4,RUN,3812.079035,3812.079043,0.008000
kworker/1:4,RUN,3812.505061,3812.505071,0.010000
kworker/1:4,RUN,3812.553064,3812.553070,0.006000
kworker/1:4,RUN,3812.655070,3812.655079,0.009000
kworker/1:4,STAT_PERIOD,0,0,0.000000
kworker/1:4,STAT_MEASURED,0,0,-1.000000
kworker/1:4,STAT_DEADLINE,0,0,0.000000
kworker/1:4,STAT_WCET,0,0,0.054000
kworker/1:4,STAT_ACET,0,0,0.013700
kworker/1:4,STAT_JITTER,0,0,-1.000000
kworker/1:4,STAT_UTIL,0,0,0.000064
kworker/1:4,STAT_NRUN,0,0,10
kworker/1:4,STAT_NPRE,0,0,0
kworker/1:4,STAT_NSLP,0,0,0
kworker/1:4,STAT_NMISS,0,0,0
kworker/1:4,STAT_WSLACK,0,0,-999999.000000
kworker/1:4,STAT_HGAPS,0,0,1.000000
kworker/1:4,STAT_NGAPS,0,0,9
kworker/1:4,STAT_MAXGAP,0,0,426.018000
kworker/1:4,STAT_RUNTOT,0,0,0.137000
kworker/1:4,STAT_PRETOT,0,0,0.000000
kworker/1:4,STAT_SLPTOT,0,0,0.000000
Activity_1,RUN,3810.639339,3810.639346,0.007000
Activity_1,RUN,3810.639349,3810.730274,90.925000
Activity_1,RUN,3810.839392,3810.905949,66.557000
Activity_1,RUN,3811.039403,3811.107254,67.851000
Activity_1,RUN,3811.239415,3811.307817,68.402000
Activity_1,RUN,3811.439427,3811.507057,67.630000
Activity_1,RUN,3811.639438,3811.694013,54.575000
Activity_1,RUN,3811.694026,3811.706640,12.614000
Activity_1,RUN,3811.839450,3811.907526,68.076000
Activity_1,RUN,3812.039468,3812.119463,79.995000
Activity_1,RUN,3812.239474,3812.270047,30.573000
